element,x,y,w,h,info
screen,0,0,895,721,645295
jog,12,74,634,634,317
jog,88,12,694,694,347
jog,116,65430,694,694,347
jog,12,11,544,544,272
jog,697,471,98,98,49
jog,80,65406,574,574,287
jog,12,65396,714,714,357
jog,279,12,602,602,301
jog,277,119,468,468,234
jog,132,65409,628,628,314
jog,165,12,596,596,298
jog,55,370,234,234,117
jog,92,64,582,582,291
jog,97,11,576,576,288
jog,65461,12,626,626,313
jog,288,82,566,566,283
jog,401,74,370,370,185
jog,65388,24,574,574,287
jog,356,88,526,526,263
jog,12,38,586,586,293
jog,11,65508,418,418,209
jog,309,65407,572,572,286
jog,10,12,446,446,223
jog,427,65469,484,484,242
jog,473,385,324,324,162
jog,305,74,442,442,221
jog,81,11,520,520,260
jog,65443,25,460,460,230
jog,435,12,446,446,223
jog,65515,24,374,374,187
jog,546,398,310,310,155
jog,74,10,418,418,209
jog,319,13,432,432,216
jog,546,385,248,248,124
jog,11,65385,544,544,272
jog,402,400,422,422,211
jog,277,364,284,284,142
jog,211,370,650,650,325
jog,108,370,234,234,117
jog,65411,12,386,386,193
jog,10,398,310,310,155
jog,414,410,298,298,149
jog,276,417,290,290,145
jog,83,228,332,332,166
jog,342,410,298,298,149
jog,306,228,362,362,181
jog,11,287,300,300,150
jog,415,332,288,288,144
jog,435,90,446,446,223
jog,519,5,412,412,206
jog,436,228,386,386,193
jog,698,400,246,246,123
jog,155,429,580,580,290
jog,402,256,322,322,161
jog,148,12,314,314,157
jog,617,472,264,264,132
jog,193,428,210,210,105
jog,135,471,176,176,88
jog,65495,370,234,234,117
jog,672,369,212,212,106
jog,620,370,198,198,99
jog,11,427,584,584,292
jog,278,306,286,286,143
jog,160,500,426,426,213
jog,12,258,242,242,121
jog,62,258,242,242,121
jog,658,183,224,224,112
jog,579,137,280,280,140
jog,385,514,410,410,205
jog,13,153,348,348,174
jog,194,478,294,294,147
jog,343,515,196,196,98
jog,428,62,226,226,113
jog,12,349,152,152,76
jog,71,499,208,208,104
jog,33,484,410,410,205
jog,467,333,312,312,156
jog,12,12,170,170,85
jog,280,443,166,166,83
jog,166,530,178,178,89
jog,287,499,208,208,104
jog,65,19,168,168,84
jog,12,562,146,146,73
jog,95,65369,396,396,198
jog,560,479,258,258,129
jog,474,561,146,146,73
jog,65479,25,224,224,112
jog,275,411,128,128,64
jog,65475,131,268,268,134
jog,12,454,194,194,97
jog,280,338,178,178,89
jog,462,60,302,302,151
jog,755,517,128,128,64
jog,65400,310,310,310,155
jog,81,27,220,220,110
jog,9,587,236,236,118
jog,682,12,242,242,121
jog,80,154,234,234,117
jog,726,234,182,182,91
jog,453,441,146,146,73
jog,737,346,144,144,72
jog,402,530,178,178,89
jog,686,208,402,402,201
jog,730,556,152,152,76
jog,13,275,124,124,62
jog,635,65510,246,246,123
jog,619,341,140,140,70
jog,413,403,136,136,68
jog,661,282,134,134,67
jog,27,65483,144,144,72
jog,108,586,134,134,67
jog,65396,28,294,294,147
jog,65464,565,272,272,136
jog,759,622,122,122,61
jog,702,361,112,112,56
jog,584,65418,298,298,149
jog,493,572,186,186,93
jog,737,151,144,144,72
jog,247,537,108,108,54
jog,104,0,90,90,45
jog,65495,13,144,144,72
jog,76,552,94,94,47
jog,679,623,84,84,42
jog,626,623,84,84,42
jog,60,586,242,242,121
jog,413,65507,120,120,60
jog,605,400,118,118,59
jog,242,392,106,106,53
jog,625,623,192,192,96
jog,148,12,138,138,69
jog,558,11,220,220,110
jog,65443,417,200,200,100
jog,652,72,158,158,79
jog,241,599,108,108,54
jog,750,486,286,286,143
jog,65480,310,150,150,75
jog,74,127,60,60,30
jog,408,74,130,130,65
jog,779,416,102,102,51
jog,65484,542,166,166,83
jog,372,12,146,146,73
jog,287,12,136,136,68
jog,729,3,152,152,76
jog,469,65507,120,120,60
jog,154,370,126,126,63
jog,524,42,78,78,39
jog,691,623,156,156,78
jog,299,65477,180,180,90
jog,638,12,138,138,69
jog,13,517,84,84,42
